"";"sys_CBCVersion_CBC";"CBC_Random1";"CBC_Random2";"CBC_Random3";"CBC_Random4";"CBC_Fixed1";"CBC_Random5";"CBC_Random6";"CBC_Random7";"CBC_Random8";"CBC_Fixed2";"CBC_Random9";"CBC_Random10";"CBC_Random11";"CBC_Random12"
"1";6;4;1;3;3;2;3;1;1;3;3;3;4;1;4
"2";8;4;4;3;2;2;4;2;3;2;1;2;3;3;3
"3";10;3;4;3;3;1;3;5;1;1;5;2;5;3;5
"4";12;2;4;3;3;2;1;1;2;4;1;4;1;1;3
"5";14;5;3;5;5;2;2;5;5;5;5;4;5;2;5
"6";18;4;3;1;5;2;1;1;5;5;5;4;2;1;5
"7";20;2;3;4;2;1;3;2;2;4;1;1;2;3;2
"8";24;4;3;3;4;1;3;2;2;2;1;2;1;5;3
"9";26;1;2;5;1;2;4;5;5;5;1;2;5;2;1
"10";28;3;3;1;4;2;3;2;3;2;1;4;2;3;4
"11";32;5;5;5;5;1;5;4;5;5;5;3;5;3;5
"12";34;4;5;1;1;4;3;3;3;1;3;4;4;3;1
"13";36;2;3;3;1;4;4;2;1;2;1;4;5;5;2
"14";38;3;3;4;4;2;3;3;5;5;5;5;5;5;3
"15";40;1;2;2;4;2;2;2;3;4;1;2;4;1;3
"16";42;4;3;4;5;1;3;3;5;4;2;4;4;4;4
"17";44;5;5;1;2;1;2;2;5;2;5;5;1;2;4
"18";46;4;2;1;1;3;4;4;4;4;1;4;5;1;5
"19";48;4;2;3;4;1;2;1;3;4;1;4;3;1;3
"20";50;4;5;5;4;1;5;5;3;4;5;3;5;5;5
"21";52;3;1;2;3;2;5;5;2;1;1;4;2;1;3
"22";56;2;1;4;1;2;4;1;4;1;1;3;3;5;1
"23";58;4;4;1;1;1;1;2;2;2;1;2;1;3;4
"24";62;5;3;5;5;2;5;5;5;3;5;5;5;5;5
"25";64;1;2;3;2;3;2;1;4;2;1;3;3;4;2
"26";66;2;5;5;2;2;5;5;4;2;5;4;2;2;2
"27";70;4;5;5;4;4;3;2;4;1;2;1;1;4;3
"28";72;3;3;3;2;2;2;4;4;5;5;5;4;4;4
"29";76;1;5;4;3;2;4;5;5;5;5;3;5;3;5
"30";78;2;4;3;2;2;3;2;3;5;5;5;5;1;3
"31";80;4;1;4;1;4;3;4;1;5;2;5;3;4;5
"32";82;2;4;4;2;2;4;3;1;2;1;1;3;3;2
"33";84;2;2;2;5;2;4;2;5;4;5;1;4;1;5
"34";86;2;3;2;2;5;3;4;3;1;5;1;3;4;5
"35";88;5;5;4;1;1;4;3;4;4;5;5;5;4;4
"36";92;2;3;5;4;5;4;1;3;1;5;5;4;5;5
"37";94;5;4;5;1;2;5;2;5;1;5;2;5;5;5
"38";96;5;5;3;5;5;1;5;5;5;5;5;1;5;5
"39";100;5;4;5;5;2;5;5;5;4;5;3;5;5;5
"40";102;1;1;3;3;4;2;3;3;3;2;1;3;1;3
"41";106;5;4;4;2;2;2;5;4;5;3;3;4;3;1
"42";108;5;1;4;3;2;5;5;5;3;5;5;1;4;5
"43";110;4;2;1;5;5;4;5;5;4;1;4;2;2;4
"44";112;1;2;2;4;4;4;2;3;2;5;2;5;1;5
"45";114;2;3;1;1;2;3;3;5;5;5;2;5;4;5
"46";118;1;1;2;2;4;2;3;3;4;1;1;3;1;3
"47";122;5;5;5;5;5;5;3;4;5;5;5;5;4;5
"48";124;1;3;3;3;2;2;2;4;3;1;4;3;4;3
"49";126;4;4;2;4;2;4;2;3;1;2;1;1;2;2
"50";130;2;1;3;4;2;3;3;5;5;5;5;5;3;5
"51";132;2;3;3;4;2;3;1;2;4;1;3;2;2;2
"52";136;3;3;2;5;2;2;1;5;5;5;3;5;1;3
"53";138;2;3;2;3;4;2;4;3;4;1;1;4;2;1
"54";142;4;5;5;5;2;1;5;2;4;5;5;5;5;3
"55";148;5;3;4;4;3;3;5;1;3;1;1;5;5;5
"56";150;3;3;3;3;1;1;4;5;2;3;4;5;5;5
"57";152;2;2;2;3;2;4;3;2;5;4;2;4;4;4
"58";154;5;1;5;2;3;3;3;5;5;5;3;5;5;5
"59";158;4;2;2;3;2;1;4;4;1;1;5;3;3;1
"60";162;1;5;3;1;2;2;2;3;2;2;2;4;1;2
"61";164;5;1;5;3;2;5;2;4;4;1;3;5;4;4
"62";166;3;4;3;2;2;3;4;2;1;1;3;2;2;1
"63";170;3;3;4;1;2;2;4;4;3;1;1;3;3;3
"64";172;3;4;1;3;4;4;4;1;2;1;3;4;3;3
"65";174;5;1;5;5;2;4;1;5;2;5;1;3;1;5
"66";176;3;2;1;2;3;2;2;2;4;1;2;3;3;2
"67";178;3;2;4;2;1;2;4;3;4;4;1;2;1;4
"68";180;3;2;3;2;3;3;4;4;4;3;3;4;1;1
"69";184;2;2;5;2;2;1;5;2;2;5;1;5;5;1
"70";186;3;2;2;5;2;5;5;4;4;2;3;2;1;2
"71";188;3;5;2;5;2;5;3;3;3;5;5;3;1;3
"72";190;5;2;2;3;2;2;5;3;1;5;5;5;4;5
"73";192;2;2;3;1;2;1;1;2;3;3;4;5;4;3
"74";196;5;5;4;5;2;5;4;3;2;5;5;4;4;4
"75";198;4;5;1;3;1;3;5;2;5;5;1;5;1;1
"76";200;1;1;4;4;1;5;5;2;5;5;5;5;1;5
"77";204;1;5;5;2;1;5;2;3;1;5;2;5;1;1
"78";206;1;5;3;5;2;2;1;3;2;5;5;5;3;1
"79";210;2;4;1;4;2;3;5;5;3;5;1;5;5;5
"80";212;2;3;1;1;2;3;4;2;2;1;4;5;4;1
"81";214;2;2;4;2;3;2;3;1;1;3;2;3;5;1
"82";216;1;1;2;4;2;3;1;2;4;2;5;5;4;4
"83";218;3;1;1;1;4;5;1;5;1;2;2;5;2;3
"84";220;2;4;2;1;2;5;2;3;1;4;5;5;1;2
"85";222;4;2;2;3;2;4;1;4;1;2;3;1;3;3
"86";224;4;3;3;5;1;4;4;4;5;5;5;2;2;5
"87";226;1;2;4;5;2;5;5;4;4;5;5;2;1;5
"88";228;4;4;2;2;3;2;1;1;4;1;1;3;3;4
"89";232;2;5;5;4;3;5;5;5;2;5;5;5;5;3
"90";234;2;4;4;1;2;4;2;5;1;5;5;4;3;4
"91";236;5;5;1;4;5;3;1;3;2;5;5;5;4;4
"92";240;2;5;5;2;3;4;5;4;2;5;5;5;5;3
"93";246;4;4;2;3;2;3;4;4;2;1;2;5;4;3
"94";248;1;2;1;2;3;4;4;2;2;1;2;5;2;3
"95";250;5;5;3;2;4;3;5;5;5;2;2;1;5;4
"96";254;5;4;3;1;5;5;2;5;1;5;3;2;4;5
"97";258;2;4;3;1;5;5;5;4;4;5;5;2;4;3
"98";260;2;3;3;1;3;5;3;2;2;1;4;3;4;2
"99";268;1;5;5;5;2;3;5;5;4;5;2;5;2;5
"100";270;3;4;5;1;2;4;3;4;2;1;2;1;5;3
"101";272;3;4;1;1;2;4;4;2;3;3;1;4;2;4
"102";274;4;3;5;3;5;2;5;2;2;5;5;5;3;5
"103";278;3;4;4;1;3;1;1;5;2;1;4;5;3;3
"104";280;3;2;1;2;5;5;5;5;5;1;5;5;5;5
"105";284;1;2;5;5;2;5;5;5;1;5;4;5;4;3
"106";286;5;5;1;2;2;5;5;5;3;5;3;4;4;5
"107";288;2;3;5;4;2;5;5;2;5;5;1;2;2;5
"108";290;1;4;3;1;2;1;1;1;3;1;1;4;4;2
"109";294;5;5;5;5;5;1;5;3;5;5;1;5;5;5
"110";296;4;3;2;2;2;2;2;2;2;2;3;2;2;2
"111";2;2;2;5;1;1;2;1;2;1;5;3;2;4;5
"112";8;4;4;3;4;2;4;1;3;2;1;2;3;3;3
"113";10;5;5;1;5;2;2;4;1;1;5;2;5;4;1
"114";12;2;4;4;3;3;1;1;4;4;1;4;1;1;3
"115";16;4;1;3;4;2;2;5;1;2;1;3;1;2;3
"116";18;4;2;5;5;1;1;5;4;5;5;4;5;5;2
"117";266;1;1;2;4;2;4;2;4;2;1;3;3;3;5
"118";264;1;3;2;1;3;2;4;4;2;1;1;4;2;1
"119";256;3;2;3;3;2;3;5;2;5;1;2;2;5;5
"120";238;3;5;3;4;2;2;1;2;5;5;4;2;3;5
"121";22;3;2;1;4;3;1;4;3;1;3;4;4;3;4
